============================================================
  MOTO RIDER — FULL CONTOUR
  734 points  (dx = distance from midline, dy = head-units from crown)
============================================================

  idx         dx         dy
  560    +0.0004     3.9478
  561    +0.0001     3.9230
  562    -0.0001     3.8982
  563    +0.0000     3.8735
  564    +0.0004     3.8487
  565    +0.0006     3.8239
  566    +0.0007     3.7992
  567    +0.0005     3.7746
  568    -0.0002     3.7502
  569    -0.0014     3.7261
  570    -0.0030     3.7022
  571    -0.0048     3.6784
  572    -0.0066     3.6547
  573    -0.0085     3.6310
  574    -0.0101     3.6071
  575    -0.0116     3.5832
  576    -0.0125     3.5590
  577    -0.0130     3.5346
  578    -0.0130     3.5100
  579    -0.0128     3.4852
  580    -0.0126     3.4604
  581    -0.0123     3.4356
  582    -0.0123     3.4109
  583    -0.0123     3.3863
  584    -0.0123     3.3616
  585    -0.0123     3.3369
  586    -0.0123     3.3123
  587    -0.0123     3.2876
  588    -0.0123     3.2629
  589    -0.0123     3.2382
  590    -0.0123     3.2136
  591    -0.0123     3.1889
  592    -0.0123     3.1642
  593    -0.0123     3.1396
  594    -0.0123     3.1149
  595    -0.0123     3.0902
  596    -0.0123     3.0655
  597    -0.0123     3.0409
  598    -0.0123     3.0162
  599    -0.0123     2.9915
  600    -0.0123     2.9668
  601    -0.0123     2.9422
  602    -0.0123     2.9175
  603    -0.0123     2.8928
  604    -0.0123     2.8682
  605    -0.0123     2.8435
  606    -0.0123     2.8188
  607    -0.0123     2.7941
  608    -0.0123     2.7695
  609    -0.0123     2.7448
  610    -0.0123     2.7201
  611    -0.0123     2.6955
  612    -0.0123     2.6708
  613    -0.0123     2.6461
  614    -0.0123     2.6214
  615    -0.0123     2.5968
  616    -0.0123     2.5721
  617    -0.0123     2.5474
  618    -0.0123     2.5227
  619    -0.0123     2.4981
  620    -0.0123     2.4734
  621    -0.0123     2.4487
  622    -0.0123     2.4241
  623    -0.0123     2.3994
  624    -0.0123     2.3747
  625    -0.0123     2.3500
  626    -0.0123     2.3254
  627    -0.0123     2.3007
  628    -0.0123     2.2760
  629    -0.0123     2.2513
  630    -0.0123     2.2267
  631    -0.0123     2.2020
  632    -0.0123     2.1773
  633    -0.0123     2.1527
  634    -0.0123     2.1280
  635    -0.0123     2.1033
  636    -0.0123     2.0786
  637    -0.0123     2.0540
  638    -0.0123     2.0293
  639    -0.0123     2.0046
  640    -0.0123     1.9800
  641    -0.0123     1.9553
  642    -0.0123     1.9306
  643    -0.0123     1.9059
  644    -0.0123     1.8813
  645    -0.0123     1.8566
  646    -0.0123     1.8319
  647    -0.0123     1.8072
  648    -0.0123     1.7826
  649    -0.0123     1.7579
  650    -0.0123     1.7333
  651    -0.0121     1.7088
  652    -0.0122     1.6840
  653    -0.0128     1.6587
  654    -0.0140     1.6329
  655    -0.0154     1.6068
  656    -0.0166     1.5810
  657    -0.0168     1.5565
  658    -0.0146     1.5345
  659    -0.0092     1.5158
  660    +0.0002     1.5007
  661    +0.0140     1.4889
  662    +0.0320     1.4797
  663    +0.0534     1.4716
  664    +0.0764     1.4634
  665    +0.0986     1.4540
  666    +0.1177     1.4426
  667    +0.1312     1.4296
  668    +0.1373     1.4158
  669    +0.1353     1.4024
  670    +0.1253     1.3905
  671    +0.1087     1.3808
  672    +0.0877     1.3735
  673    +0.0648     1.3680
  674    +0.0424     1.3629
  675    +0.0225     1.3568
  676    +0.0066     1.3483
  677    -0.0050     1.3361
  678    -0.0123     1.3198
  679    -0.0161     1.2993
  680    -0.0169     1.2756
  681    -0.0161     1.2500
  682    -0.0147     1.2237
  683    -0.0133     1.1976
  684    -0.0125     1.1720
  685    -0.0121     1.1471
  686    -0.0122     1.1224
  687    -0.0123     1.0979
  688    -0.0123     1.0732
  689    -0.0123     1.0486
  690    -0.0123     1.0239
  691    -0.0123     0.9992
  692    -0.0123     0.9746
  693    -0.0123     0.9499
  694    -0.0123     0.9252
  695    -0.0123     0.9005
  696    -0.0123     0.8759
  697    -0.0123     0.8512
  698    -0.0123     0.8265
  699    -0.0123     0.8019
  700    -0.0123     0.7772
  701    -0.0123     0.7525
  702    -0.0123     0.7278
  703    -0.0123     0.7032
  704    -0.0123     0.6785
  705    -0.0123     0.6538
  706    -0.0123     0.6291
  707    -0.0123     0.6045
  708    -0.0123     0.5798
  709    -0.0123     0.5551
  710    -0.0123     0.5305
  711    -0.0123     0.5058
  712    -0.0123     0.4811
  713    -0.0123     0.4564
  714    -0.0123     0.4318
  715    -0.0123     0.4071
  716    -0.0123     0.3824
  717    -0.0123     0.3577
  718    -0.0123     0.3331
  719    -0.0123     0.3084
  720    -0.0123     0.2837
  721    -0.0123     0.2591
  722    -0.0121     0.2346
  723    -0.0122     0.2098
  724    -0.0128     0.1846
  725    -0.0140     0.1587
  726    -0.0154     0.1324
  727    -0.0153     0.1065
  728    -0.0150     0.0818
  729    -0.0135     0.0592
  730    -0.0099     0.0396
  731    -0.0033     0.0237
  732    +0.0065     0.0119
  733    +0.0197     0.0042

============================================================
  MEASUREMENTS — ALL 81 Y LEVELS
  Format: [inner_dx .. outer_dx]  (each bracket = one body span)
============================================================

  y=  0.0  [-0.0247 .. +0.0308]
  y=  0.1  [-0.3022 .. +0.3022]
  y=  0.2  [-0.4071 .. +0.4009]
  y=  0.3  [-0.4626 .. +0.4626]
  y=  0.4  [-0.4996 .. +0.4996]
  y=  0.5  [+0.4934 .. +0.5243] [-0.3824 .. +0.3824] [-0.5243 .. -0.4934]
  y=  0.6  [+0.4071 .. +0.5243] [-0.5243 .. +0.3207]
  y=  0.7  [+0.4194 .. +0.5120] [-0.3146 .. +0.3146] [-0.5181 .. -0.4256]
  y=  0.8  [+0.4009 .. +0.4996] [-0.2961 .. +0.2961] [-0.4996 .. -0.4009]
  y=  0.9  [-0.4811 .. +0.4811]
  y=  1.0  [-0.4441 .. +0.4441]
  y=  1.1  [-0.4071 .. +0.4009]
  y=  1.2  [-0.3207 .. +0.3207]
  y=  1.3  [-0.2467 .. +0.3516] [-0.3577 .. -0.3084]
  y=  1.4  [+0.5366 .. +0.5860] [+0.1480 .. +0.3392] [-0.3392 .. -0.2714] [-0.5860 .. -0.5366]
  y=  1.5  [-0.8635 .. +0.8635]
  y=  1.6  [-0.9746 .. +0.9684]
  y=  1.7  [-1.0177 .. +1.0177]
  y=  1.8  [-1.0547 .. +1.0547]
  y=  1.9  [-1.0856 .. +1.0856]
  y=  2.0  [+1.0547 .. +1.1041] [+0.8944 .. +0.9499] [-0.7772 .. +0.7710] [-0.9437 .. -0.8944] [-1.1041 .. -1.0547]
  y=  2.1  [+1.0486 .. +1.1226] [+0.9190 .. +0.9499] [-0.8327 .. +0.8327] [-0.9499 .. -0.9190] [-1.1226 .. -1.0486]
  y=  2.2  [+0.9314 .. +1.1411] [-0.8450 .. +0.8450] [-1.1411 .. -0.9314]
  y=  2.3  [-1.1658 .. +1.1658]
  y=  2.4  [+0.6908 .. +1.1843] [-0.6230 .. +0.6291] [-1.1843 .. -0.7093]
  y=  2.5  [-1.1966 .. +1.1966]
  y=  2.6  [+0.6847 .. +1.2089] [-1.2089 .. +0.6230]
  y=  2.7  [-1.2336 .. +1.2274]
  y=  2.8  [+1.2089 .. +1.2460] [+0.7710 .. +1.0732] [-0.6970 .. +0.7032] [-1.0732 .. -0.7833] [-1.2460 .. -1.2151]
  y=  2.9  [+1.2583 .. +1.2706] [+0.7895 .. +1.1534] [-0.6847 .. +0.6847] [-1.1349 .. -0.7895] [-1.2768 .. -1.2583]
  y=  3.0  [+0.9190 .. +1.2768] [-0.8327 .. +0.8327] [-1.2768 .. -0.9190]
  y=  3.1  [-1.2830 .. +1.2830]
  y=  3.2  [-1.2891 .. +1.2891]
  y=  3.3  [+1.2336 .. +1.2891] [-1.1288 .. +1.1226] [-1.2891 .. -1.2336]
  y=  3.4  [+1.2151 .. +1.2891] [+1.0918 .. +1.1288] [-1.0177 .. +1.0054] [-1.1288 .. -1.0794] [-1.2891 .. -1.2213]
  y=  3.5  [+0.6662 .. +1.2830] [-0.2221 .. +0.4564] [-0.5798 .. -0.3948] [-1.2830 .. -0.6662]
  y=  3.6  [-1.2830 .. +1.2830]
  y=  3.7  [+0.0000 .. +1.2768] [-1.2768 .. -0.1234]
  y=  3.8  [+0.6353 .. +1.2706] [+0.0000 .. +0.5675] [-1.2706 .. -0.1234]
  y=  3.9  [+0.0000 .. +1.2706] [-1.2706 .. -0.1234]
  y=  4.0  [+0.0000 .. +1.2521] [-1.2521 .. -0.1234]
  y=  4.1  [+1.2336 .. +1.2521] [+1.1164 .. +1.1349] [+0.8450 .. +1.0301] [+0.0000 .. +0.7833] [-0.7895 .. -0.1049] [-1.1349 .. -0.8512] [-1.2521 .. -1.2398]
  y=  4.2  [-1.2583 .. +1.2583]
  y=  4.3  [+0.1912 .. +1.2768] [-1.2768 .. +0.0740]
  y=  4.4  [-1.2398 .. +1.2398]
  y=  4.5  [+0.9375 .. +1.1966] [-0.7957 .. +0.7957] [-1.2028 .. -0.9437]
  y=  4.6  [+0.8697 .. +1.1041] [+0.0432 .. +0.8080] [-0.7957 .. -0.0432] [-1.1103 .. -0.8820]
  y=  4.7  [+0.0555 .. +0.7895] [-0.7957 .. -0.0555]
  y=  4.8  [+0.0678 .. +0.7833] [-0.7895 .. -0.0740]
  y=  4.9  [+0.0864 .. +0.7833] [-0.7833 .. -0.0864]
  y=  5.0  [+0.0987 .. +0.7710] [-0.7772 .. -0.1049]
  y=  5.1  [+0.1172 .. +0.7648] [-0.7648 .. -0.1172]
  y=  5.2  [+0.6723 .. +0.7525] [+0.1357 .. +0.5305] [-0.7587 .. -0.1357]
  y=  5.3  [+0.1542 .. +0.7525] [-0.7525 .. -0.1542]
  y=  5.4  [+0.1604 .. +0.7648] [-0.7710 .. -0.1604]
  y=  5.5  [+0.1665 .. +0.7525] [-0.7587 .. -0.1665]
  y=  5.6  [+0.1850 .. +0.7710] [-0.7710 .. -0.1850]
