============================================================
  HERO FIGURE — FULL EXTRACTED DATA
  640 contour pts, 118 strokes, 80 Y-levels
============================================================

── CONTOUR ──
  idx         dx         dy
  320    +0.9703     7.2856
  321    +0.9742     7.3118
  322    +0.9772     7.3378
  323    +0.9797     7.3641
  324    +0.9818     7.3912
  325    +0.9836     7.4197
  326    +0.9864     7.4499
  327    +0.9925     7.4817
  328    +1.0034     7.5149
  329    +1.0198     7.5489
  330    +1.0413     7.5830
  331    +1.0663     7.6168
  332    +1.0930     7.6503
  333    +1.1197     7.6837
  334    +1.1455     7.7175
  335    +1.1696     7.7518
  336    +1.1903     7.7864
  337    +1.2060     7.8208
  338    +1.2146     7.8544
  339    +1.2149     7.8860
  340    +1.2069     7.9148
  341    +1.1911     7.9400
  342    +1.1687     7.9611
  343    +1.1410     7.9779
  344    +1.1095     7.9904
  345    +1.0756     7.9988
  346    +1.0406     8.0037
  347    +1.0055     8.0056
  348    +0.9703     8.0051
  349    +0.9352     8.0025
  350    +0.9003     7.9975
  351    +0.8661     7.9897
  352    +0.8333     7.9783
  353    +0.8025     7.9631
  354    +0.7740     7.9441
  355    +0.7474     7.9217
  356    +0.7222     7.8968
  357    +0.6978     7.8699
  358    +0.6746     7.8416
  359    +0.6531     7.8122
  360    +0.6341     7.7821
  361    +0.6175     7.7516
  362    +0.6034     7.7209
  363    +0.5919     7.6901
  364    +0.5840     7.6587
  365    +0.5803     7.6265
  366    +0.5809     7.5930
  367    +0.5849     7.5583
  368    +0.5904     7.5229
  369    +0.5949     7.4876
  370    +0.5959     7.4536
  371    +0.5918     7.4222
  372    +0.5823     7.3941
  373    +0.5671     7.3703
  374    +0.5468     7.3512
  375    +0.5215     7.3370
  376    +0.4920     7.3275
  377    +0.4594     7.3224
  378    +0.4249     7.3206
  379    +0.3898     7.3206
  380    +0.3549     7.3215
  381    +0.3208     7.3226
  382    +0.2872     7.3240
  383    +0.2536     7.3262
  384    +0.2192     7.3295
  385    +0.1841     7.3338
  386    +0.1490     7.3380
  387    +0.1147     7.3405
  388    +0.0827     7.3401
  389    +0.0543     7.3354
  390    +0.0302     7.3258
  391    +0.0111     7.3106
  392    -0.0031     7.2896
  393    -0.0123     7.2631
  394    -0.0172     7.2323
  395    -0.0185     7.1984
  396    -0.0175     7.1632
