============================================================
  ANATOMY STUDY — FULL EXTRACTED DATA
  699 contour pts, 81 strokes, 80 Y-levels
============================================================

── CONTOUR (699 points) ──
  idx         dx         dy
  415    +1.1051     7.9868
  416    +1.0712     7.9958
  417    +1.0364     8.0012
  418    +1.0018     8.0036
  419    +0.9675     8.0034
  420    +0.9332     8.0008
  421    +0.8989     7.9956
  422    +0.8651     7.9871
  423    +0.8327     7.9748
  424    +0.8027     7.9583
  425    +0.7756     7.9376
  426    +0.7511     7.9132
  427    +0.7287     7.8858
  428    +0.7078     7.8560
  429    +0.6883     7.8248
  430    +0.6707     7.7926
  431    +0.6553     7.7601
  432    +0.6426     7.7278
  433    +0.6323     7.6958
  434    +0.6243     7.6640
  435    +0.6188     7.6322
  436    +0.6158     7.6001
  437    +0.6153     7.5678
  438    +0.6169     7.5351
  439    +0.6197     7.5023
  440    +0.6229     7.4695
  441    +0.6256     7.4367
  442    +0.6269     7.4040
  443    +0.6270     7.3714
  444    +0.6260     7.3388
  445    +0.6243     7.3061
  446    +0.6225     7.2735
  447    +0.6205     7.2408
  448    +0.6183     7.2082
  449    +0.6155     7.1755
  450    +0.6120     7.1429
  451    +0.6078     7.1102
  452    +0.6033     7.0776
  453    +0.5990     7.0449
  454    +0.5952     7.0122
  455    +0.5918     6.9796
  456    +0.5886     6.9469
  457    +0.5852     6.9143
  458    +0.5812     6.8816
  459    +0.5764     6.8490
  460    +0.5706     6.8163
  461    +0.5637     6.7837
  462    +0.5555     6.7510
  463    +0.5457     6.7184
  464    +0.5348     6.6857
  465    +0.5226     6.6531
  466    +0.5097     6.6204
  467    +0.4965     6.5878
  468    +0.4834     6.5551
  469    +0.4708     6.5224
  470    +0.4591     6.4898
  471    +0.4486     6.4571
  472    +0.4394     6.4245
  473    +0.4315     6.3918
  474    +0.4250     6.3592
  475    +0.4198     6.3265
  476    +0.4159     6.2939
  477    +0.4134     6.2612
  478    +0.4121     6.2286
  479    +0.4118     6.1959
  480    +0.4125     6.1633
  481    +0.4138     6.1306
  482    +0.4155     6.0980
  483    +0.4175     6.0653
  484    +0.4195     6.0327
  485    +0.4212     6.0000
  486    +0.4220     5.9674
  487    +0.4214     5.9348
  488    +0.4194     5.9021
  489    +0.4163     5.8690
  490    +0.4117     5.8354
  491    +0.4043     5.8016
  492    +0.3939     5.7682
  493    +0.3804     5.7361
  494    +0.3648     5.7060
  495    +0.3483     5.6784
  496    +0.3330     5.6532
  497    +0.3205     5.6298
  498    +0.3112     5.6074
  499    +0.3046     5.5854
  500    +0.3002     5.5630
  501    +0.2980     5.5394
  502    +0.2976     5.5139
  503    +0.2986     5.4861
  504    +0.2990     5.4558
  505    +0.2977     5.4236
  506    +0.2942     5.3901
  507    +0.2884     5.3563
  508    +0.2812     5.3228
  509    +0.2736     5.2897
  510    +0.2666     5.2570
  511    +0.2603     5.2244
  512    +0.2542     5.1918
  513    +0.2477     5.1592
  514    +0.2408     5.1265
  515    +0.2335     5.0939
  516    +0.2254     5.0613
  517    +0.2165     5.0287
  518    +0.2070     4.9962
  519    +0.1973     4.9633
  520    +0.1878     4.9294
  521    +0.1783     4.8947
  522    +0.1681     4.8601
  523    +0.1563     4.8271
  524    +0.1421     4.7971
  525    +0.1249     4.7709
  526    +0.1054     4.7490
  527    +0.0842     4.7305
  528    +0.0628     4.7139
  529    +0.0422     4.6980
  530    +0.0234     4.6819
  531    +0.0073     4.6644
  532    -0.0052     4.6444
  533    -0.0134     4.6207
  534    -0.0174     4.5926
  535    -0.0179     4.5610
  536    -0.0165     4.5270
  537    -0.0145     4.4922
  538    -0.0129     4.4577
  539    -0.0121     4.4242
  540    -0.0120     4.3915
  541    -0.0121     4.3591
  542    -0.0122     4.3265
  543    -0.0122     4.2939
  544    -0.0122     4.2612
  545    -0.0122     4.2286
  546    -0.0122     4.1959
  547    -0.0122     4.1633
  548    -0.0122     4.1306
  549    -0.0122     4.0980
  550    -0.0122     4.0653
  551    -0.0122     4.0327
  552    -0.0122     4.0000
  553    -0.0122     3.9673
  554    -0.0122     3.9347
  555    -0.0122     3.9020
  556    -0.0122     3.8694
  557    -0.0122     3.8367
  558    -0.0122     3.8041
  559    -0.0122     3.7714
  560    -0.0122     3.7388
  561    -0.0122     3.7061
  562    -0.0122     3.6735
  563    -0.0122     3.6408
  564    -0.0122     3.6082
  565    -0.0122     3.5755
  566    -0.0122     3.5429
  567    -0.0122     3.5102
  568    -0.0122     3.4776
  569    -0.0122     3.4449
  570    -0.0122     3.4122
  571    -0.0122     3.3796
  572    -0.0122     3.3469
  573    -0.0122     3.3143
  574    -0.0122     3.2816
  575    -0.0122     3.2490
  576    -0.0122     3.2163
  577    -0.0122     3.1837
  578    -0.0122     3.1510
  579    -0.0122     3.1184
  580    -0.0122     3.0857
  581    -0.0122     3.0531
  582    -0.0122     3.0204
  583    -0.0122     2.9878
  584    -0.0122     2.9551
  585    -0.0122     2.9224
  586    -0.0122     2.8898
  587    -0.0122     2.8571
  588    -0.0122     2.8245
  589    -0.0122     2.7918
  590    -0.0122     2.7592
  591    -0.0122     2.7265
  592    -0.0122     2.6939
  593    -0.0122     2.6612
  594    -0.0122     2.6286
  595    -0.0122     2.5959
  596    -0.0122     2.5633
  597    -0.0122     2.5306
  598    -0.0122     2.4980
  599    -0.0122     2.4653
  600    -0.0122     2.4327
  601    -0.0122     2.4000
  602    -0.0122     2.3673
  603    -0.0122     2.3347
  604    -0.0122     2.3020
  605    -0.0122     2.2694
  606    -0.0122     2.2367
  607    -0.0122     2.2041
  608    -0.0122     2.1714
  609    -0.0122     2.1388
  610    -0.0122     2.1061
  611    -0.0122     2.0735
  612    -0.0122     2.0408
  613    -0.0122     2.0082
  614    -0.0122     1.9755
  615    -0.0122     1.9429
  616    -0.0122     1.9102
  617    -0.0122     1.8776
  618    -0.0122     1.8449
  619    -0.0122     1.8122
  620    -0.0122     1.7796
  621    -0.0122     1.7469
  622    -0.0122     1.7143
  623    -0.0122     1.6816
  624    -0.0122     1.6490
  625    -0.0122     1.6163
  626    -0.0122     1.5837
  627    -0.0122     1.5510
  628    -0.0122     1.5184
  629    -0.0122     1.4857
  630    -0.0120     1.4533
  631    -0.0120     1.4208
  632    -0.0126     1.3874
  633    -0.0140     1.3529
  634    -0.0159     1.3180
  635    -0.0175     1.2838
  636    -0.0180     1.2516
  637    -0.0157     1.2231
  638    -0.0095     1.1990
  639    +0.0011     1.1790
  640    +0.0164     1.1620
  641    +0.0360     1.1472
  642    +0.0601     1.1335
  643    +0.0881     1.1197
  644    +0.1188     1.1045
  645    +0.1502     1.0864
  646    +0.1796     1.0639
  647    +0.2043     1.0370
  648    +0.2223     1.0067
  649    +0.2318     0.9749
  650    +0.2319     0.9439
  651    +0.2223     0.9161
  652    +0.2040     0.8935
  653    +0.1793     0.8773
  654    +0.1514     0.8681
  655    +0.1241     0.8662
  656    +0.1006     0.8720
  657    +0.0826     0.8854
  658    +0.0697     0.9057
  659    +0.0605     0.9315
  660    +0.0537     0.9601
  661    +0.0483     0.9883
  662    +0.0426     1.0127
  663    +0.0359     1.0300
  664    +0.0273     1.0388
  665    +0.0167     1.0387
  666    +0.0055     1.0298
  667    -0.0046     1.0128
  668    -0.0122     0.9881
  669    -0.0162     0.9575
  670    -0.0168     0.9231
  671    -0.0154     0.8870
  672    -0.0138     0.8511
  673    -0.0127     0.8164
  674    -0.0122     0.7832
  675    -0.0120     0.7507
  676    -0.0122     0.7183
  677    -0.0122     0.6857
  678    -0.0122     0.6531
  679    -0.0122     0.6204
  680    -0.0122     0.5878
  681    -0.0122     0.5551
  682    -0.0122     0.5224
  683    -0.0122     0.4898
  684    -0.0122     0.4571
  685    -0.0122     0.4245
  686    -0.0122     0.3918
  687    -0.0122     0.3592
  688    -0.0120     0.3268
  689    -0.0120     0.2943
  690    -0.0126     0.2610
  691    -0.0140     0.2266
  692    -0.0146     0.1913
  693    -0.0158     0.1567
  694    -0.0167     0.1236
  695    -0.0162     0.0930
  696    -0.0130     0.0665
  697    -0.0059     0.0455
  698    +0.0056     0.0303

── MEASUREMENTS (80 Y-levels) ──
  y=  0.1  [-0.2490..+0.2408]
  y=  0.2  [-0.3388..+0.3388]
  y=  0.3  [-0.3959..+0.3959]
  y=  0.4  [-0.4204..+0.4204]
  y=  0.5  [-0.2490..+0.4204]  [-0.4204..-0.4041]
  y=  0.6  [-0.4122..+0.4122]
  y=  0.7  [-0.3959..+0.3878]
  y=  0.8  [-0.3633..+0.3633]
  y=  0.9  [+0.2245..+0.3306]  [-0.0367..+0.0367]  [-0.3306..-0.2245]
  y=  1.0  [+0.2327..+0.2816]  [-0.0939..+0.0857]  [-0.2816..-0.2327]
  y=  1.1  [+0.1510..+0.3143]  [-0.3143..-0.1510]
  y=  1.2  [-0.3388..+0.3388]
  y=  1.3  [+0.3061..+0.5184]  [-0.1184..+0.1184]  [-0.5184..-0.3061]
  y=  1.4  [-0.7224..+0.7224]
  y=  1.5  [-1.0408..+1.0327]
  y=  1.6  [+0.8367..+1.0898]  [-0.6571..+0.6571]  [-1.0898..-0.8367]
  y=  1.7  [+0.8122..+1.1388]  [-0.6980..+0.6980]  [-1.1388..-0.8122]
  y=  1.8  [-1.1714..+1.1714]
  y=  1.9  [-1.1878..+1.1796]
  y=  2.0  [-1.1796..+1.1796]
  y=  2.1  [-1.3020..+1.3020]
  y=  2.2  [+1.1388..+1.2531]  [+0.4694..+1.0245]  [-0.2571..+0.2571]  [-1.0245..-0.4694]  [-1.2612..-1.1388]
  y=  2.3  [-1.2776..+1.2776]
  y=  2.4  [-1.2939..+1.2939]
